logiciel,langage,fichiers,vides,commentaires,code
dakota,Fortran 77,3,53,1022,1193
dakota,YAML,46,34,1,815
dakota,Bourne Shell,41,397,714,623
dakota,GLSL,2,87,64,401
dakota,Fortran 90,2,24,315,341
dakota,CSS,2,26,33,208
dakota,SWIG,2,23,28,193
dakota,MATLAB,7,31,26,143
dakota,XSD,1,17,11,106
dakota,Pascal,1,20,29,72
dakota,DOS Batch,7,50,85,67
dakota,Dockerfile,1,20,46,42
dakota,Bourne Again Shell,6,26,57,35
dakota,make,2,9,12,24
dakota,TOML,1,3,0,21
dakota,C Shell,2,4,6,11
dakota,ReScript,5,1,0,5
GPMSA,MATLAB,38,596,1189,3592
GPMSA,Markdown,1,6,0,7
openturns,C++,1417,35924,59816,221289
openturns,C/C++ Header,944,33252,40656,102283
openturns,SWIG,1618,28112,4810,80117
openturns,Python,1171,18398,33547,68654
openturns,CSV,24,1,0,26954
openturns,XML,91,0,0,18464
openturns,Text,148,6676,0,14863
openturns,reStructuredText,148,7078,6906,10966
openturns,CMake,61,518,579,5575
openturns,SVG,9,6,6,3929
openturns,C,4,451,659,3161
openturns,JavaScript,1,69,112,409
openturns,R,11,53,51,373
openturns,Bourne Shell,14,69,25,320
openturns,YAML,7,16,0,307
openturns,HTML,2,30,0,196
openturns,XMI,1,0,0,163
openturns,TeX,1,20,20,156
openturns,JSON,1,0,0,46
openturns,make,1,11,3,45
openturns,CSS,2,7,6,27
openturns,Markdown,1,0,0,1
psuade,C++,195,10127,31587,182836
psuade,Fortran 77,268,125,33301,38429
psuade,C,233,7803,8074,34480
psuade,Text,11,115,0,22222
psuade,C/C++ Header,229,3085,9220,10533
psuade,Python,30,270,819,2407
psuade,MATLAB,10,79,206,1742
psuade,make,21,326,129,951
psuade,CMake,14,123,108,511
psuade,Markdown,2,64,0,154
psuade,Bourne Shell,1,6,7,32
psuade,Logos,3,3,0,10
queso,Text,80,8905,0,80510
queso,C++,377,12377,16380,62279
queso,C/C++ Header,271,6679,16854,18931
queso,Perl,7,2152,3027,10145
queso,TeX,22,1853,1172,6403
queso,m4,46,910,121,6268
queso,make,23,460,368,2541
queso,MSBuild script,4,0,0,1360
queso,Bourne Shell,22,186,147,443
queso,Python,5,130,87,443
queso,Visualforce Page,6,28,0,116
queso,Markdown,1,29,0,89
queso,Fortran 90,2,37,93,78
queso,C,1,28,13,75
queso,Visual Studio Solution,1,0,1,45
queso,YAML,1,0,0,25
queso,SQL,4,0,0,19
queso,HTML,1,1,0,7
queso,Bourne Again Shell,2,0,20,6
raven,CSV,1566,1568,0,493455
raven,C/C++ Header,2247,46697,40366,305639
raven,XML,1251,7617,436,233112
raven,Python,1027,14968,74123,90024
raven,TeX,219,9185,6992,69914
raven,Text,69,326,0,27916
raven,SWIG,61,213,0,24545
raven,C++,18,1073,1628,4868
raven,Bourne Shell,67,531,608,2835
raven,XSD,16,203,231,2422
raven,MATLAB,4,756,372,2230
raven,SVG,4,0,2,2131
raven,YAML,12,122,70,1472
raven,CSS,2,173,58,697
raven,Bourne Again Shell,11,88,120,584
raven,Markdown,10,138,3,424
raven,make,15,104,43,261
