"Year";"Google Scholar"
2007 ; 0
2008 ; 0
2009 ; 4
2010 ; 3
2011 ; 5
2012 ; 2
2013 ; 1
2014 ; 9
2015 ; 10
2016 ; 12
2017 ; 17
2018 ; 17
2019 ; 11
2020 ; 6
2021 ; 13
2022 ; 9

